specobjid,SOURCETYPE,RA,Dec,plate,ra,dec,objid,run,rerun,camcol,field,z,mjd,fiberID,run2d,wavelength,red shift,red shift error,flux,g sn,r sn,i sn,central wavelength
501149185026844672,GALAXY                   ,129.78419,51.923089,445,129.784257855262,51.9230758331014,1237651252022542543,1345,301,5,159,0.1192035,51873,450,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[11.786313  15.4761095 16.584215  ... 11.57724   14.020035  16.46301  ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501149734782658560,GALAXY                   ,129.75566,51.506373,445,129.755532708481,51.506455477876,1237651191894442021,1331,301,5,181,-0.0001108951,51873,452,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[183.52556  167.81625  175.17899  ... 102.010895 102.10367  102.19645 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501150284538472448,GALAXY                   ,129.49938,51.58615,445,129.499375513936,51.5861500219797,1237651252022346002,1345,301,5,156,0.1440662,51873,454,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 7.054765  3.966351  9.993358 ... 14.203514 13.597565 11.26867 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501150559416379392,GALAXY                   ,129.58208,51.531197,445,129.582090954187,51.5312247447302,1237651191894442201,1331,301,5,181,0.01663235,51873,455,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[11.9153385  6.541871   2.0301793 ...  5.4406915  2.5559676  2.348672 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501150834294286336,GALAXY                   ,129.54059,51.825573,445,129.540634875255,51.8255801002691,1237651067339800796,1302,301,5,172,0.1685217,51873,456,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 5.291549  17.3761    10.459958  ... 10.082604   7.9933124  6.5900126],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501151384050100224,GALAXY                   ,129.53275,51.89194,445,129.532745670171,51.8919156044025,1237651192431444145,1331,301,6,183,0.1145309,51873,458,26,[3.5813 3.5814 3.5815 ... 3.9643 3.9644 3.9645],[19.191584   5.1386337  0.227622  ... 27.17647   26.028032  25.888449 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501151658928007168,GALAXY                   ,129.88023,51.234849,445,129.880226072815,51.2348591935048,1237651251485474943,1345,301,4,156,0.04662375,51873,459,26,[3.5813 3.5814 3.5815 ... 3.9643 3.9644 3.9645],[ 3.6501575 15.297033   2.9283032 ... 13.9885    14.981263  14.580503 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501151933805914112,GALAXY                   ,129.88253,51.417295,445,129.88252127582,51.4172976527392,1237651251485474909,1345,301,4,156,0.04513219,51873,460,26,[3.5813 3.5814 3.5815 ... 3.9643 3.9644 3.9645],[ 6.3964615 -5.6740437  0.4508317 ... 17.500515  16.857607  15.273728 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501152208683821056,GALAXY                   ,129.01763,51.132489,445,129.017596598234,51.1324961272684,1237651191894245486,1331,301,5,178,0.07450037,51873,461,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[11.666418   4.5459647  9.098576  ... 24.187805  20.364216  21.488886 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501152483561728000,GALAXY                   ,128.98277,50.782746,445,128.982786586869,50.782752428767,1237651251485147288,1345,301,4,151,0.09798352,51873,462,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[ 6.9773717 10.070227   3.3416405 ...  6.145652   7.9842114  9.822883 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
